C0-I	C1-I
TRINITY_DN11154_c0_g1_i6	TRINITY_DN11217_c4_g1_i1
TRINITY_DN1116_c0_g3_i1	TRINITY_DN11229_c0_g1_i3
TRINITY_DN11171_c0_g2_i3	TRINITY_DN1122_c0_g1_i3
TRINITY_DN11175_c1_g1_i1	TRINITY_DN11235_c0_g1_i6
TRINITY_DN11177_c1_g1_i2	TRINITY_DN11239_c1_g2_i1
TRINITY_DN1118_c0_g2_i1	TRINITY_DN11249_c1_g1_i1
TRINITY_DN1118_c0_g2_i3	TRINITY_DN11270_c1_g1_i1
TRINITY_DN11192_c0_g2_i1	TRINITY_DN1127_c0_g1_i2
TRINITY_DN11196_c0_g1_i1	TRINITY_DN1128_c3_g2_i1
TRINITY_DN11198_c4_g1_i4	TRINITY_DN1128_c3_g3_i3
TRINITY_DN111999_c0_g2_i1	TRINITY_DN1128_c3_g3_i4
TRINITY_DN111_c0_g2_i4	TRINITY_DN112_c2_g1_i1
TRINITY_DN11208_c0_g1_i2	TRINITY_DN11305_c2_g1_i1
TRINITY_DN1120_c0_g1_i2	TRINITY_DN11311_c0_g2_i1
TRINITY_DN1120_c2_g4_i1	TRINITY_DN11315_c0_g1_i2
TRINITY_DN1120_c2_g4_i2	TRINITY_DN1131_c0_g1_i1
TRINITY_DN1120_c2_g4_i4	TRINITY_DN11361_c0_g1_i2
TRINITY_DN11214_c0_g2_i4	TRINITY_DN1137_c0_g2_i1
TRINITY_DN11215_c0_g1_i2	TRINITY_DN11385_c0_g1_i8
TRINITY_DN11217_c0_g2_i2	TRINITY_DN11388_c0_g1_i2
TRINITY_DN11254_c0_g1_i2	TRINITY_DN11391_c1_g1_i1
TRINITY_DN11260_c0_g1_i5	TRINITY_DN11394_c1_g1_i4
TRINITY_DN11269_c0_g1_i4	TRINITY_DN1140_c0_g1_i2
TRINITY_DN11276_c1_g1_i2	TRINITY_DN11416_c0_g1_i3
TRINITY_DN1127_c0_g1_i4	TRINITY_DN1141_c0_g1_i16
TRINITY_DN11283_c0_g1_i1	TRINITY_DN1141_c0_g1_i24
TRINITY_DN11283_c0_g1_i11	TRINITY_DN1141_c1_g1_i2
TRINITY_DN11283_c0_g1_i2	TRINITY_DN11428_c0_g1_i3
TRINITY_DN11283_c0_g1_i3	TRINITY_DN11436_c1_g1_i5
TRINITY_DN11292_c0_g2_i2	TRINITY_DN114376_c0_g1_i5
TRINITY_DN112_c0_g1_i11	TRINITY_DN11438_c0_g2_i1
TRINITY_DN11310_c0_g2_i5	TRINITY_DN1143_c0_g2_i5
TRINITY_DN11316_c0_g2_i1	TRINITY_DN11440_c0_g1_i13
TRINITY_DN11317_c0_g3_i1	TRINITY_DN11440_c0_g1_i9
TRINITY_DN1131_c23_g1_i3	TRINITY_DN11443_c0_g4_i1
TRINITY_DN11322_c0_g1_i2	TRINITY_DN1144_c0_g1_i2
TRINITY_DN11322_c0_g1_i6	TRINITY_DN114504_c0_g1_i2
TRINITY_DN11325_c0_g1_i5	TRINITY_DN1145_c2_g1_i4
TRINITY_DN11326_c0_g1_i1	TRINITY_DN114611_c0_g1_i2
TRINITY_DN11328_c0_g2_i4	TRINITY_DN11469_c0_g1_i2
TRINITY_DN11328_c0_g5_i1	TRINITY_DN11478_c0_g2_i3
TRINITY_DN1132_c0_g2_i7	TRINITY_DN11480_c0_g4_i3
TRINITY_DN11334_c0_g1_i2	TRINITY_DN11480_c0_g4_i4
TRINITY_DN1134_c0_g2_i2	TRINITY_DN11480_c0_g5_i3
TRINITY_DN11350_c0_g1_i1	TRINITY_DN11481_c0_g1_i1
TRINITY_DN11355_c1_g2_i4	TRINITY_DN11483_c0_g1_i5
TRINITY_DN11357_c0_g1_i1	TRINITY_DN11483_c1_g2_i2
TRINITY_DN11361_c0_g1_i4	TRINITY_DN11488_c0_g1_i12
TRINITY_DN11372_c0_g6_i1	TRINITY_DN1148_c2_g1_i13
TRINITY_DN11373_c2_g1_i3	TRINITY_DN11507_c1_g3_i1
TRINITY_DN1137_c0_g1_i1	TRINITY_DN11514_c0_g1_i4
TRINITY_DN113846_c0_g2_i1	TRINITY_DN11514_c0_g1_i7
TRINITY_DN11385_c0_g1_i7	TRINITY_DN11519_c0_g2_i9
TRINITY_DN113_c0_g1_i1	TRINITY_DN11521_c1_g1_i1
TRINITY_DN11407_c0_g1_i14	TRINITY_DN1152_c0_g1_i11
TRINITY_DN11432_c0_g1_i11	TRINITY_DN1152_c0_g1_i12
TRINITY_DN11443_c0_g1_i5	TRINITY_DN1154_c4_g2_i1
TRINITY_DN1145_c0_g1_i2	TRINITY_DN11553_c0_g1_i8
TRINITY_DN11467_c0_g2_i2	TRINITY_DN1155_c0_g1_i15
TRINITY_DN11468_c0_g2_i2	TRINITY_DN1155_c0_g1_i17
TRINITY_DN11475_c0_g3_i3	TRINITY_DN1155_c0_g1_i3
TRINITY_DN1147_c0_g1_i1	TRINITY_DN11569_c0_g1_i1
TRINITY_DN114839_c0_g1_i5	TRINITY_DN11569_c0_g1_i6
TRINITY_DN11483_c0_g1_i6	TRINITY_DN11579_c0_g1_i5
TRINITY_DN1148_c2_g2_i1	TRINITY_DN1159_c0_g2_i2
TRINITY_DN11494_c0_g2_i3	TRINITY_DN1161_c0_g1_i3
TRINITY_DN1149_c3_g1_i1	TRINITY_DN1161_c0_g2_i3
TRINITY_DN114_c1_g1_i4	TRINITY_DN11628_c0_g1_i1
TRINITY_DN11507_c1_g2_i1	TRINITY_DN1162_c0_g2_i5
TRINITY_DN11509_c0_g1_i6	TRINITY_DN1162_c0_g2_i8
TRINITY_DN11509_c0_g1_i7	TRINITY_DN1163_c0_g2_i1
TRINITY_DN1150_c0_g2_i1	TRINITY_DN11644_c0_g1_i5
TRINITY_DN1150_c2_g3_i1	TRINITY_DN11644_c0_g3_i2
TRINITY_DN1150_c2_g4_i1	TRINITY_DN11650_c0_g3_i1
TRINITY_DN11516_c0_g4_i2	TRINITY_DN11679_c0_g2_i1
TRINITY_DN1151_c1_g1_i8	TRINITY_DN11685_c2_g1_i2
TRINITY_DN1151_c1_g2_i2	TRINITY_DN1168_c1_g1_i2
TRINITY_DN1154_c0_g1_i2	TRINITY_DN116_c0_g1_i1
TRINITY_DN1154_c4_g1_i2	TRINITY_DN116_c4_g2_i1
TRINITY_DN11551_c0_g1_i3	TRINITY_DN11705_c0_g2_i2
TRINITY_DN11554_c0_g2_i3	TRINITY_DN11708_c0_g1_i2
TRINITY_DN115597_c0_g3_i1	TRINITY_DN11708_c0_g1_i3
TRINITY_DN1155_c1_g2_i1	TRINITY_DN1172_c0_g1_i3
TRINITY_DN11560_c0_g2_i4	TRINITY_DN1172_c0_g1_i4
TRINITY_DN11575_c0_g1_i1	TRINITY_DN1172_c0_g1_i7
TRINITY_DN11599_c0_g1_i1	TRINITY_DN11739_c0_g1_i1
TRINITY_DN1159_c0_g1_i1	TRINITY_DN11753_c1_g1_i3
TRINITY_DN1159_c0_g1_i7	TRINITY_DN11756_c0_g1_i7
TRINITY_DN115_c0_g1_i6	TRINITY_DN117601_c1_g1_i7
TRINITY_DN115_c0_g3_i2	TRINITY_DN11762_c1_g3_i1
TRINITY_DN11602_c0_g1_i3	TRINITY_DN11774_c0_g1_i2
TRINITY_DN1161_c0_g1_i10	TRINITY_DN11806_c0_g1_i2
TRINITY_DN11622_c0_g1_i7	TRINITY_DN11809_c2_g1_i1
TRINITY_DN1162_c0_g1_i2	TRINITY_DN1180_c2_g1_i1
TRINITY_DN1162_c0_g1_i3	TRINITY_DN11815_c0_g4_i1
TRINITY_DN1162_c0_g2_i11	TRINITY_DN11815_c2_g1_i1
TRINITY_DN1162_c0_g2_i7	TRINITY_DN11820_c0_g3_i2
TRINITY_DN11634_c0_g1_i5	TRINITY_DN11820_c0_g6_i1
TRINITY_DN1163_c0_g4_i1	TRINITY_DN11827_c0_g2_i1
TRINITY_DN11657_c0_g3_i3	TRINITY_DN11834_c0_g1_i2
TRINITY_DN11657_c0_g3_i4	TRINITY_DN118356_c2_g1_i2
TRINITY_DN1165_c0_g1_i3	TRINITY_DN11870_c0_g1_i11
TRINITY_DN11668_c0_g1_i2	TRINITY_DN11875_c0_g2_i1
TRINITY_DN1166_c0_g1_i4	TRINITY_DN11875_c0_g3_i1
TRINITY_DN1166_c0_g1_i8	TRINITY_DN11877_c0_g2_i4
TRINITY_DN11672_c0_g1_i5	TRINITY_DN11877_c0_g2_i5
TRINITY_DN11679_c0_g1_i6	TRINITY_DN11886_c0_g2_i10
TRINITY_DN1167_c0_g1_i12	TRINITY_DN11886_c0_g2_i2
TRINITY_DN1167_c0_g1_i2	TRINITY_DN11892_c0_g2_i7
TRINITY_DN1167_c0_g1_i23	TRINITY_DN118977_c0_g1_i3
TRINITY_DN1167_c0_g1_i4	TRINITY_DN11900_c1_g1_i1
TRINITY_DN1168_c0_g1_i4	TRINITY_DN11902_c0_g1_i1
TRINITY_DN11695_c0_g1_i2	TRINITY_DN11902_c0_g2_i1
TRINITY_DN11705_c1_g1_i3	TRINITY_DN11927_c0_g1_i9
TRINITY_DN11707_c0_g1_i2	TRINITY_DN11945_c0_g1_i5
TRINITY_DN1170_c0_g1_i3	TRINITY_DN1196_c0_g1_i2
TRINITY_DN1170_c0_g2_i7	TRINITY_DN11978_c0_g1_i3
TRINITY_DN11722_c0_g1_i5	TRINITY_DN11991_c0_g1_i11
TRINITY_DN117329_c0_g1_i7	TRINITY_DN119_c2_g1_i7
TRINITY_DN11766_c0_g1_i5	TRINITY_DN11_c0_g6_i1
TRINITY_DN11780_c0_g1_i2	TRINITY_DN11_c3_g1_i1
TRINITY_DN11791_c0_g1_i3	TRINITY_DN12000_c0_g1_i2
TRINITY_DN1180_c0_g1_i1	TRINITY_DN12000_c0_g4_i3
