C0-III	C1-III	C2-II
TRINITY_DN10299_c2_g1_i1	TRINITY_DN104746_c0_g1_i1	TRINITY_DN10405_c0_g1_i12
TRINITY_DN102_c3_g1_i20	TRINITY_DN10475_c0_g1_i1	TRINITY_DN10410_c2_g1_i1
TRINITY_DN102_c3_g1_i24	TRINITY_DN1047_c11_g1_i4	TRINITY_DN10411_c0_g1_i11
TRINITY_DN102_c3_g1_i27	TRINITY_DN1047_c1_g1_i11	TRINITY_DN10411_c0_g1_i5
TRINITY_DN1030_c0_g1_i3	TRINITY_DN104812_c1_g1_i1	TRINITY_DN1041_c0_g1_i2
TRINITY_DN103259_c0_g1_i2	TRINITY_DN10481_c0_g1_i2	TRINITY_DN1041_c1_g1_i6
TRINITY_DN10327_c0_g1_i3	TRINITY_DN10483_c0_g1_i4	TRINITY_DN10446_c1_g2_i5
TRINITY_DN10327_c0_g1_i8	TRINITY_DN104913_c0_g1_i1	TRINITY_DN10452_c0_g1_i4
TRINITY_DN103340_c1_g1_i2	TRINITY_DN10493_c0_g4_i2	TRINITY_DN10452_c0_g2_i1
TRINITY_DN1033_c0_g1_i8	TRINITY_DN104_c1_g2_i11	TRINITY_DN104574_c0_g1_i1
TRINITY_DN103408_c0_g1_i1	TRINITY_DN104_c1_g2_i18	TRINITY_DN10463_c0_g1_i1
TRINITY_DN10343_c0_g1_i1	TRINITY_DN104_c1_g2_i8	TRINITY_DN10466_c0_g1_i2
TRINITY_DN103452_c0_g1_i1	TRINITY_DN10509_c0_g1_i5	TRINITY_DN1046_c0_g2_i1
TRINITY_DN103566_c0_g1_i1	TRINITY_DN105187_c0_g1_i4	TRINITY_DN1046_c2_g1_i6
TRINITY_DN10357_c0_g1_i8	TRINITY_DN10519_c0_g1_i3	TRINITY_DN1047_c11_g1_i2
TRINITY_DN1035_c19_g1_i1	TRINITY_DN10548_c0_g1_i3	TRINITY_DN1047_c1_g1_i8
TRINITY_DN10370_c0_g1_i1	TRINITY_DN10548_c1_g2_i3	TRINITY_DN10489_c0_g1_i4
TRINITY_DN1037_c0_g2_i1	TRINITY_DN10557_c0_g1_i9	TRINITY_DN10490_c0_g1_i1
TRINITY_DN10387_c0_g1_i1	TRINITY_DN1055_c0_g3_i1	TRINITY_DN10492_c0_g1_i1
TRINITY_DN10388_c0_g2_i5	TRINITY_DN105767_c0_g1_i1	TRINITY_DN10492_c0_g1_i5
TRINITY_DN1038_c0_g1_i4	TRINITY_DN10576_c0_g1_i1	TRINITY_DN104934_c0_g2_i1
TRINITY_DN10397_c0_g2_i1	TRINITY_DN1058_c0_g1_i5	TRINITY_DN10497_c0_g1_i11
TRINITY_DN10398_c2_g1_i1	TRINITY_DN10598_c0_g1_i6	TRINITY_DN10497_c0_g3_i1
TRINITY_DN10399_c0_g2_i1	TRINITY_DN1059_c0_g2_i6	TRINITY_DN104_c1_g2_i12
TRINITY_DN1039_c0_g1_i3	TRINITY_DN10603_c0_g1_i3	TRINITY_DN104_c1_g2_i13
TRINITY_DN1039_c1_g1_i3	TRINITY_DN106050_c0_g1_i4	TRINITY_DN10500_c2_g1_i12
TRINITY_DN1039_c3_g2_i6	TRINITY_DN10605_c0_g2_i1	TRINITY_DN10506_c0_g1_i1
TRINITY_DN1039_c6_g1_i30	TRINITY_DN10606_c0_g1_i3	TRINITY_DN1050_c0_g3_i2
TRINITY_DN10406_c1_g1_i9	TRINITY_DN10608_c0_g1_i17	TRINITY_DN10512_c0_g1_i6
TRINITY_DN10407_c1_g1_i5	TRINITY_DN10608_c0_g1_i19	TRINITY_DN10513_c0_g1_i1
TRINITY_DN10407_c1_g3_i1	TRINITY_DN10611_c0_g1_i4	TRINITY_DN1051_c0_g1_i2
TRINITY_DN1040_c1_g1_i1	TRINITY_DN10611_c0_g2_i1	TRINITY_DN105206_c0_g1_i1
TRINITY_DN104104_c0_g1_i1	TRINITY_DN106125_c0_g1_i1	TRINITY_DN10522_c1_g3_i1
TRINITY_DN104119_c0_g3_i1	TRINITY_DN10613_c0_g1_i2	TRINITY_DN10526_c0_g1_i7
TRINITY_DN104119_c0_g5_i1	TRINITY_DN106288_c0_g1_i2	TRINITY_DN105287_c0_g1_i2
TRINITY_DN10411_c1_g1_i4	TRINITY_DN1062_c0_g4_i1	TRINITY_DN10530_c0_g2_i2
TRINITY_DN10411_c1_g1_i6	TRINITY_DN10631_c0_g1_i12	TRINITY_DN10548_c0_g1_i2
TRINITY_DN10412_c0_g1_i1	TRINITY_DN1063_c1_g4_i6	TRINITY_DN10548_c1_g2_i5
TRINITY_DN10415_c1_g1_i2	TRINITY_DN106448_c0_g1_i1	TRINITY_DN10557_c0_g3_i1
TRINITY_DN10415_c1_g2_i1	TRINITY_DN106530_c0_g1_i5	TRINITY_DN1055_c0_g1_i5
TRINITY_DN1041_c1_g1_i1	TRINITY_DN1065_c0_g1_i6	TRINITY_DN1055_c1_g1_i6
TRINITY_DN10422_c1_g1_i2	TRINITY_DN106611_c0_g1_i1	TRINITY_DN10563_c0_g3_i1
TRINITY_DN10431_c0_g1_i1	TRINITY_DN10673_c0_g2_i2	TRINITY_DN10566_c0_g2_i6
TRINITY_DN10437_c0_g1_i3	TRINITY_DN10678_c0_g2_i1	TRINITY_DN10567_c0_g1_i2
TRINITY_DN10440_c0_g2_i1	TRINITY_DN1067_c0_g3_i1	TRINITY_DN10576_c0_g1_i3
TRINITY_DN10441_c0_g3_i1	TRINITY_DN10683_c0_g1_i3	TRINITY_DN105933_c0_g1_i1
TRINITY_DN10448_c0_g1_i2	TRINITY_DN10688_c0_g1_i3	TRINITY_DN105959_c0_g1_i1
TRINITY_DN1044_c0_g1_i2	TRINITY_DN1068_c0_g4_i1	TRINITY_DN1059_c0_g2_i4
TRINITY_DN104559_c3_g1_i1	TRINITY_DN106938_c1_g1_i1	TRINITY_DN1059_c0_g2_i8
TRINITY_DN10457_c0_g1_i2	TRINITY_DN10694_c0_g2_i1	TRINITY_DN1059_c2_g1_i1
TRINITY_DN1046_c1_g1_i1	TRINITY_DN106997_c0_g2_i1	TRINITY_DN105_c0_g1_i8
TRINITY_DN1046_c1_g1_i3	TRINITY_DN107030_c0_g1_i2	TRINITY_DN105_c0_g2_i1
TRINITY_DN1046_c2_g1_i3	TRINITY_DN10712_c1_g2_i2	TRINITY_DN105_c0_g5_i1
TRINITY_DN1046_c6_g1_i1	TRINITY_DN10712_c2_g1_i1	TRINITY_DN106017_c1_g1_i1
TRINITY_DN10474_c0_g1_i3	TRINITY_DN1071_c0_g1_i6	TRINITY_DN1060_c0_g2_i8
TRINITY_DN1047_c1_g1_i3	TRINITY_DN10729_c0_g1_i4	TRINITY_DN10613_c0_g1_i1
TRINITY_DN1049_c0_g1_i2	TRINITY_DN107381_c0_g1_i1	TRINITY_DN10614_c0_g1_i1
TRINITY_DN1049_c2_g1_i1	TRINITY_DN10738_c0_g1_i8	TRINITY_DN10620_c0_g1_i1
TRINITY_DN104_c0_g3_i1	TRINITY_DN107497_c0_g1_i1	TRINITY_DN10620_c0_g2_i1
TRINITY_DN10500_c2_g1_i3	TRINITY_DN10757_c0_g2_i1	TRINITY_DN10622_c0_g1_i1
TRINITY_DN10507_c0_g4_i3	TRINITY_DN10759_c0_g1_i1	TRINITY_DN10622_c0_g1_i5
TRINITY_DN105146_c0_g1_i1	TRINITY_DN1075_c0_g1_i2	TRINITY_DN10622_c1_g1_i1
TRINITY_DN10531_c0_g1_i3	TRINITY_DN1075_c0_g2_i2	TRINITY_DN10626_c0_g2_i1
TRINITY_DN1053_c1_g1_i1	TRINITY_DN10762_c0_g1_i2	TRINITY_DN10626_c0_g3_i3
TRINITY_DN1053_c2_g1_i1	TRINITY_DN10765_c0_g1_i1	TRINITY_DN106440_c0_g1_i1
TRINITY_DN10550_c0_g1_i6	TRINITY_DN10767_c0_g1_i2	TRINITY_DN106460_c0_g3_i1
TRINITY_DN105535_c0_g1_i1	TRINITY_DN1077_c0_g1_i2	TRINITY_DN10646_c0_g1_i19
TRINITY_DN105560_c0_g1_i1	TRINITY_DN1077_c0_g2_i1	TRINITY_DN106530_c0_g1_i6
TRINITY_DN10559_c0_g1_i2	TRINITY_DN1077_c0_g2_i3	TRINITY_DN106656_c0_g1_i18
TRINITY_DN10565_c1_g1_i6	TRINITY_DN1077_c0_g2_i5	TRINITY_DN10669_c0_g1_i13
TRINITY_DN10573_c0_g1_i2	TRINITY_DN1077_c1_g2_i1	TRINITY_DN1066_c0_g1_i1
TRINITY_DN10584_c0_g1_i1	TRINITY_DN1077_c1_g3_i1	TRINITY_DN106751_c0_g1_i2
TRINITY_DN10584_c0_g1_i10	TRINITY_DN1077_c1_g5_i1	TRINITY_DN10675_c1_g1_i5
TRINITY_DN10584_c2_g1_i2	TRINITY_DN10782_c2_g1_i1	TRINITY_DN10677_c0_g1_i1
TRINITY_DN10587_c0_g1_i1	TRINITY_DN10783_c0_g1_i3	TRINITY_DN10677_c0_g1_i2
TRINITY_DN10595_c0_g1_i1	TRINITY_DN107844_c0_g1_i1	TRINITY_DN10677_c0_g1_i4
TRINITY_DN10596_c0_g1_i1	TRINITY_DN10787_c0_g1_i12	TRINITY_DN1067_c0_g2_i12
TRINITY_DN1059_c0_g2_i2	TRINITY_DN10797_c0_g1_i10	TRINITY_DN1067_c0_g2_i14
TRINITY_DN105_c0_g1_i7	TRINITY_DN10797_c0_g1_i4	TRINITY_DN1067_c0_g2_i9
TRINITY_DN10608_c0_g1_i16	TRINITY_DN108069_c0_g1_i1	TRINITY_DN10682_c0_g1_i1
TRINITY_DN1060_c0_g1_i1	TRINITY_DN10811_c2_g1_i1	TRINITY_DN10686_c0_g2_i2
TRINITY_DN1060_c0_g2_i1	TRINITY_DN10818_c1_g1_i2	TRINITY_DN10688_c0_g1_i5
TRINITY_DN106164_c3_g1_i1	TRINITY_DN108213_c0_g2_i1	TRINITY_DN1068_c0_g1_i8
TRINITY_DN10621_c0_g3_i1	TRINITY_DN108227_c0_g1_i1	TRINITY_DN106928_c2_g1_i1
TRINITY_DN1062_c4_g1_i1	TRINITY_DN108235_c0_g2_i1	TRINITY_DN106944_c0_g1_i1
TRINITY_DN10631_c0_g2_i3	TRINITY_DN108253_c0_g1_i1	TRINITY_DN10695_c0_g1_i1
TRINITY_DN10636_c0_g1_i9	TRINITY_DN10830_c0_g2_i1	TRINITY_DN10695_c0_g1_i4
TRINITY_DN10638_c0_g1_i1	TRINITY_DN108316_c0_g1_i11	TRINITY_DN10695_c0_g1_i5
TRINITY_DN10649_c0_g1_i2	TRINITY_DN108352_c0_g1_i1	TRINITY_DN10697_c2_g1_i2
TRINITY_DN10652_c0_g2_i2	TRINITY_DN108407_c0_g1_i1	TRINITY_DN107043_c2_g1_i2
TRINITY_DN1065_c0_g1_i14	TRINITY_DN108480_c0_g1_i1	TRINITY_DN10708_c0_g1_i1
TRINITY_DN106647_c0_g1_i1	TRINITY_DN10854_c0_g1_i5	TRINITY_DN1070_c0_g1_i3
TRINITY_DN10664_c0_g1_i1	TRINITY_DN108620_c0_g1_i1	TRINITY_DN107122_c0_g1_i1
TRINITY_DN106690_c0_g1_i1	TRINITY_DN10866_c0_g1_i4	TRINITY_DN107300_c0_g1_i1
TRINITY_DN10669_c0_g1_i5	TRINITY_DN10874_c3_g1_i1	TRINITY_DN107332_c0_g2_i1
TRINITY_DN106724_c0_g1_i2	TRINITY_DN10878_c0_g1_i4	TRINITY_DN10738_c0_g1_i2
TRINITY_DN10677_c0_g2_i1	TRINITY_DN10879_c0_g1_i2	TRINITY_DN1074_c0_g4_i1
TRINITY_DN1067_c2_g1_i4	TRINITY_DN108885_c0_g1_i1	TRINITY_DN1076_c0_g1_i3
TRINITY_DN10683_c0_g1_i1	TRINITY_DN108911_c0_g1_i1	TRINITY_DN10776_c1_g1_i2
TRINITY_DN10686_c0_g2_i1	TRINITY_DN1090_c0_g1_i13	TRINITY_DN1077_c0_g2_i2
TRINITY_DN10695_c1_g1_i3	TRINITY_DN1090_c0_g1_i4	TRINITY_DN10785_c0_g1_i2
TRINITY_DN107148_c0_g1_i12	TRINITY_DN109104_c0_g2_i1	TRINITY_DN107919_c0_g1_i6
TRINITY_DN1071_c0_g5_i1	TRINITY_DN10953_c0_g1_i2	TRINITY_DN10810_c0_g1_i1
TRINITY_DN107363_c0_g4_i1	TRINITY_DN10955_c3_g1_i1	TRINITY_DN1081_c3_g1_i1
TRINITY_DN107398_c0_g1_i5	TRINITY_DN10964_c0_g1_i16	TRINITY_DN10827_c0_g2_i1
TRINITY_DN107398_c0_g1_i6	TRINITY_DN10975_c0_g1_i2	TRINITY_DN108316_c0_g1_i14
TRINITY_DN107400_c0_g1_i1	TRINITY_DN109778_c0_g1_i1	TRINITY_DN108316_c0_g1_i6
TRINITY_DN10745_c0_g2_i1	TRINITY_DN10978_c0_g1_i5	TRINITY_DN10838_c3_g1_i1
TRINITY_DN10753_c0_g1_i12	TRINITY_DN10978_c0_g1_i6	TRINITY_DN1083_c0_g1_i4
TRINITY_DN10753_c0_g1_i2	TRINITY_DN1097_c1_g1_i14	TRINITY_DN108437_c4_g1_i1
TRINITY_DN107565_c0_g2_i1	TRINITY_DN10987_c0_g3_i1	TRINITY_DN10848_c0_g1_i5
TRINITY_DN10763_c0_g2_i1	TRINITY_DN10987_c0_g4_i3	TRINITY_DN10855_c0_g2_i4
TRINITY_DN10763_c0_g2_i7	TRINITY_DN10987_c0_g4_i4	TRINITY_DN108572_c0_g1_i1
TRINITY_DN10765_c0_g5_i1	TRINITY_DN10994_c1_g1_i3	TRINITY_DN10859_c1_g1_i1
TRINITY_DN1077_c2_g1_i3	TRINITY_DN1099_c0_g1_i2	TRINITY_DN10863_c1_g1_i1
TRINITY_DN10785_c0_g2_i1	TRINITY_DN1099_c3_g1_i1	TRINITY_DN10868_c0_g1_i1
