C0-IV (42634 genes)	C1-IV (41276 genes)
TRINITY_DN3255_c0_g1_i10	TRINITY_DN33044_c0_g1_i3
TRINITY_DN3255_c0_g1_i16	TRINITY_DN33047_c0_g1_i2
TRINITY_DN3255_c0_g1_i18	TRINITY_DN330498_c0_g1_i1
TRINITY_DN3255_c0_g1_i8	TRINITY_DN33054_c0_g1_i5
TRINITY_DN325609_c0_g1_i1	TRINITY_DN33056_c0_g2_i1
TRINITY_DN32563_c0_g1_i2	TRINITY_DN33056_c0_g2_i2
TRINITY_DN32563_c0_g3_i2	TRINITY_DN33060_c0_g1_i5
TRINITY_DN32565_c0_g1_i1	TRINITY_DN33062_c0_g1_i1
TRINITY_DN325660_c0_g1_i1	TRINITY_DN33067_c0_g2_i1
TRINITY_DN32566_c4_g1_i1	TRINITY_DN3306_c0_g2_i1
TRINITY_DN32568_c0_g1_i5	TRINITY_DN330702_c0_g1_i1
TRINITY_DN32568_c1_g1_i1	TRINITY_DN33072_c0_g1_i1
TRINITY_DN325703_c0_g1_i1	TRINITY_DN33081_c1_g1_i1
TRINITY_DN32570_c0_g1_i4	TRINITY_DN33082_c0_g1_i2
TRINITY_DN32571_c0_g1_i1	TRINITY_DN33090_c2_g1_i1
TRINITY_DN32574_c0_g1_i2	TRINITY_DN33090_c2_g1_i2
TRINITY_DN32577_c0_g1_i1	TRINITY_DN330987_c0_g1_i1
TRINITY_DN32577_c0_g1_i3	TRINITY_DN330_c0_g1_i10
TRINITY_DN32577_c0_g2_i1	TRINITY_DN330_c0_g1_i11
TRINITY_DN32580_c0_g1_i1	TRINITY_DN330_c0_g1_i6
TRINITY_DN325860_c0_g1_i1	TRINITY_DN330_c0_g1_i8
TRINITY_DN32586_c0_g1_i1	TRINITY_DN330_c0_g2_i2
TRINITY_DN325878_c0_g1_i1	TRINITY_DN330_c1_g1_i6
TRINITY_DN32587_c0_g1_i3	TRINITY_DN330_c2_g1_i1
TRINITY_DN3258_c0_g1_i2	TRINITY_DN330_c2_g1_i4
TRINITY_DN3258_c0_g2_i1	TRINITY_DN330_c2_g1_i6
TRINITY_DN3258_c4_g1_i1	TRINITY_DN331004_c0_g1_i1
TRINITY_DN3258_c4_g1_i2	TRINITY_DN33101_c3_g1_i15
TRINITY_DN32590_c0_g2_i1	TRINITY_DN33103_c0_g1_i3
TRINITY_DN32595_c0_g1_i1	TRINITY_DN33103_c0_g1_i4
TRINITY_DN32596_c0_g1_i1	TRINITY_DN33103_c0_g1_i6
TRINITY_DN3259_c0_g1_i11	TRINITY_DN33104_c1_g1_i1
TRINITY_DN3259_c0_g1_i17	TRINITY_DN3310_c0_g1_i2
TRINITY_DN3259_c0_g1_i20	TRINITY_DN33110_c3_g1_i1
TRINITY_DN3259_c0_g1_i7	TRINITY_DN33113_c0_g3_i1
TRINITY_DN325_c0_g1_i11	TRINITY_DN33118_c0_g1_i1
TRINITY_DN325_c0_g1_i2	TRINITY_DN33124_c0_g1_i2
TRINITY_DN325_c0_g1_i3	TRINITY_DN33127_c0_g1_i10
TRINITY_DN325_c0_g1_i6	TRINITY_DN3312_c0_g1_i2
TRINITY_DN325_c1_g2_i1	TRINITY_DN3312_c0_g1_i8
TRINITY_DN326059_c0_g1_i1	TRINITY_DN3312_c1_g1_i1
TRINITY_DN32607_c0_g1_i2	TRINITY_DN3312_c1_g1_i12
TRINITY_DN32609_c0_g1_i4	TRINITY_DN3312_c4_g1_i2
TRINITY_DN32609_c0_g2_i3	TRINITY_DN3312_c4_g1_i5
TRINITY_DN32609_c0_g3_i1	TRINITY_DN33133_c0_g2_i1
TRINITY_DN32609_c0_g4_i1	TRINITY_DN33138_c0_g1_i3
TRINITY_DN32609_c2_g1_i1	TRINITY_DN33138_c1_g1_i1
TRINITY_DN3260_c0_g1_i6	TRINITY_DN33138_c1_g1_i4
TRINITY_DN3260_c0_g1_i8	TRINITY_DN33139_c0_g1_i1
TRINITY_DN3260_c0_g1_i9	TRINITY_DN3313_c0_g2_i1
TRINITY_DN3260_c0_g3_i2	TRINITY_DN3313_c1_g1_i6
TRINITY_DN32612_c0_g1_i1	TRINITY_DN3313_c1_g1_i8
TRINITY_DN32613_c0_g3_i5	TRINITY_DN33141_c0_g1_i1
TRINITY_DN326148_c0_g1_i1	TRINITY_DN33146_c0_g1_i1
TRINITY_DN326170_c0_g1_i1	TRINITY_DN33148_c0_g1_i1
TRINITY_DN326176_c0_g1_i1	TRINITY_DN33151_c0_g1_i1
TRINITY_DN3261_c0_g1_i2	TRINITY_DN33151_c0_g2_i1
TRINITY_DN3261_c0_g1_i7	TRINITY_DN33151_c0_g2_i2
TRINITY_DN3261_c0_g1_i9	TRINITY_DN33155_c0_g1_i5
TRINITY_DN3261_c0_g3_i1	TRINITY_DN33158_c0_g3_i1
TRINITY_DN3261_c3_g1_i1	TRINITY_DN3315_c0_g1_i2
TRINITY_DN326227_c0_g1_i1	TRINITY_DN3315_c0_g2_i1
TRINITY_DN32624_c1_g1_i1	TRINITY_DN3315_c2_g1_i9
TRINITY_DN32627_c0_g3_i2	TRINITY_DN33168_c0_g1_i1
TRINITY_DN32629_c0_g1_i1	TRINITY_DN331696_c0_g1_i1
TRINITY_DN32629_c0_g1_i2	TRINITY_DN3316_c0_g2_i3
TRINITY_DN3262_c1_g3_i1	TRINITY_DN331722_c0_g1_i1
TRINITY_DN326315_c0_g1_i1	TRINITY_DN331725_c0_g1_i1
TRINITY_DN32632_c0_g1_i2	TRINITY_DN33173_c0_g1_i3
TRINITY_DN326343_c0_g1_i1	TRINITY_DN33173_c0_g3_i1
TRINITY_DN3263_c0_g1_i1	TRINITY_DN33176_c0_g1_i2
TRINITY_DN3263_c1_g1_i1	TRINITY_DN33176_c1_g1_i2
TRINITY_DN326441_c0_g1_i1	TRINITY_DN33178_c0_g1_i3
TRINITY_DN32644_c0_g1_i2	TRINITY_DN3317_c0_g1_i4
TRINITY_DN32646_c0_g1_i1	TRINITY_DN3317_c0_g1_i5
TRINITY_DN326507_c0_g1_i1	TRINITY_DN3317_c0_g1_i8
TRINITY_DN326536_c0_g1_i1	TRINITY_DN3318_c0_g1_i4
TRINITY_DN32653_c0_g1_i10	TRINITY_DN33192_c0_g6_i1
TRINITY_DN32653_c0_g1_i6	TRINITY_DN33192_c1_g1_i2
TRINITY_DN32653_c0_g2_i1	TRINITY_DN331974_c0_g1_i1
TRINITY_DN32654_c0_g1_i1	TRINITY_DN3319_c0_g1_i7
TRINITY_DN32655_c0_g1_i1	TRINITY_DN3319_c0_g2_i5
TRINITY_DN32659_c0_g3_i1	TRINITY_DN33203_c2_g1_i1
TRINITY_DN3265_c0_g1_i16	TRINITY_DN332044_c0_g1_i1
TRINITY_DN3265_c0_g1_i20	TRINITY_DN33214_c4_g1_i1
TRINITY_DN3265_c0_g1_i3	TRINITY_DN3321_c0_g1_i11
TRINITY_DN3265_c0_g1_i4	TRINITY_DN3321_c0_g1_i21
TRINITY_DN3265_c0_g1_i5	TRINITY_DN3321_c0_g1_i22
TRINITY_DN3265_c0_g1_i6	TRINITY_DN3321_c0_g1_i4
TRINITY_DN3265_c0_g2_i2	TRINITY_DN3321_c0_g1_i7
TRINITY_DN32660_c1_g1_i1	TRINITY_DN3321_c0_g2_i1
TRINITY_DN32664_c0_g1_i1	TRINITY_DN33225_c0_g1_i3
TRINITY_DN32667_c0_g1_i1	TRINITY_DN3322_c0_g1_i14
TRINITY_DN326693_c0_g1_i1	TRINITY_DN3322_c0_g1_i15
TRINITY_DN3266_c0_g4_i1	TRINITY_DN3322_c0_g1_i5
TRINITY_DN3266_c0_g5_i1	TRINITY_DN3322_c0_g1_i6
TRINITY_DN32674_c0_g1_i1	TRINITY_DN3322_c2_g1_i3
TRINITY_DN32675_c0_g3_i1	TRINITY_DN33231_c0_g1_i1
TRINITY_DN32677_c0_g1_i1	TRINITY_DN332342_c0_g1_i1
TRINITY_DN32679_c0_g1_i1	TRINITY_DN33237_c0_g1_i4
TRINITY_DN32684_c0_g1_i3	TRINITY_DN3323_c0_g1_i2
TRINITY_DN32685_c0_g2_i1	TRINITY_DN3323_c0_g2_i1
TRINITY_DN326869_c0_g1_i1	TRINITY_DN3324_c0_g1_i6
TRINITY_DN32686_c0_g2_i1	TRINITY_DN3324_c0_g2_i1
TRINITY_DN32688_c0_g1_i8	TRINITY_DN3324_c0_g3_i1
TRINITY_DN3268_c0_g3_i2	TRINITY_DN33251_c0_g1_i5
TRINITY_DN3268_c1_g1_i4	TRINITY_DN33253_c0_g1_i4
TRINITY_DN32693_c0_g2_i4	TRINITY_DN33253_c1_g1_i1
TRINITY_DN326_c0_g1_i5	TRINITY_DN33254_c1_g1_i1
TRINITY_DN326_c0_g2_i1	TRINITY_DN33256_c0_g1_i2
TRINITY_DN326_c0_g2_i2	TRINITY_DN33257_c0_g1_i1
TRINITY_DN326_c0_g2_i3	TRINITY_DN33258_c0_g3_i2
TRINITY_DN326_c0_g2_i4	TRINITY_DN3325_c0_g1_i11
TRINITY_DN32702_c0_g2_i1	TRINITY_DN3325_c0_g1_i12
TRINITY_DN32702_c0_g3_i1	TRINITY_DN3325_c0_g1_i13
TRINITY_DN32704_c0_g1_i1	TRINITY_DN3325_c0_g1_i6
TRINITY_DN32704_c0_g1_i3	TRINITY_DN3325_c0_g1_i8
TRINITY_DN32705_c0_g1_i4	TRINITY_DN3325_c1_g1_i1
TRINITY_DN32705_c0_g1_i8	TRINITY_DN332622_c0_g1_i1
TRINITY_DN32705_c0_g2_i1	TRINITY_DN33264_c0_g1_i1
TRINITY_DN327067_c0_g1_i1	TRINITY_DN33266_c0_g1_i1
TRINITY_DN32707_c0_g1_i3	TRINITY_DN33268_c0_g1_i4
TRINITY_DN32707_c0_g2_i1	TRINITY_DN33268_c1_g1_i3
TRINITY_DN32708_c0_g1_i5	TRINITY_DN33268_c1_g1_i5
TRINITY_DN32709_c0_g1_i1	TRINITY_DN33269_c0_g1_i1
TRINITY_DN3270_c0_g1_i4	TRINITY_DN3326_c0_g1_i2
TRINITY_DN3270_c0_g1_i5	TRINITY_DN3326_c0_g1_i4
TRINITY_DN3270_c0_g1_i8	TRINITY_DN33271_c0_g1_i8
TRINITY_DN3270_c0_g1_i9	TRINITY_DN33273_c0_g1_i2
TRINITY_DN3270_c0_g3_i1	TRINITY_DN33273_c0_g1_i3
TRINITY_DN327101_c0_g1_i1	TRINITY_DN33273_c0_g1_i6
TRINITY_DN327106_c0_g1_i1	TRINITY_DN33276_c0_g2_i2
TRINITY_DN32710_c0_g2_i2	TRINITY_DN3327_c0_g1_i10
TRINITY_DN32710_c0_g2_i3	TRINITY_DN3327_c0_g1_i12
TRINITY_DN32710_c3_g1_i1	TRINITY_DN3327_c0_g1_i15
TRINITY_DN32711_c1_g3_i3	TRINITY_DN3327_c0_g1_i6
TRINITY_DN327132_c0_g1_i1	TRINITY_DN33280_c0_g2_i1
TRINITY_DN327147_c0_g1_i1	TRINITY_DN33280_c1_g2_i1
TRINITY_DN32717_c0_g1_i3	TRINITY_DN33286_c0_g1_i1
TRINITY_DN32717_c0_g1_i4	TRINITY_DN33288_c0_g1_i1
TRINITY_DN3271_c0_g1_i1	TRINITY_DN33289_c0_g1_i1
TRINITY_DN3271_c1_g1_i4	TRINITY_DN33289_c0_g1_i3
TRINITY_DN327233_c0_g1_i1	TRINITY_DN3328_c0_g1_i1
TRINITY_DN32723_c0_g1_i1	TRINITY_DN3328_c0_g1_i2
TRINITY_DN327251_c0_g1_i1	TRINITY_DN33292_c0_g1_i4
TRINITY_DN32727_c0_g1_i1	TRINITY_DN33292_c0_g3_i2
TRINITY_DN32729_c0_g1_i5	TRINITY_DN33294_c0_g1_i12
TRINITY_DN3272_c0_g2_i1	TRINITY_DN33295_c1_g1_i1
TRINITY_DN32731_c1_g3_i1	TRINITY_DN332972_c0_g1_i1
TRINITY_DN32731_c2_g1_i1	TRINITY_DN33299_c0_g2_i4
TRINITY_DN32732_c0_g1_i4	TRINITY_DN3329_c0_g1_i1
TRINITY_DN32732_c0_g1_i6	TRINITY_DN3329_c0_g1_i2
TRINITY_DN32732_c2_g2_i1	TRINITY_DN332_c0_g1_i1
TRINITY_DN32734_c0_g1_i1	TRINITY_DN33300_c0_g1_i1
TRINITY_DN3273_c0_g1_i3	TRINITY_DN33302_c0_g1_i1
TRINITY_DN3273_c0_g1_i7	TRINITY_DN33305_c0_g1_i1
TRINITY_DN32743_c0_g1_i2	TRINITY_DN33307_c0_g1_i1
TRINITY_DN32743_c0_g1_i4	TRINITY_DN33318_c1_g1_i1
TRINITY_DN32743_c0_g1_i6	TRINITY_DN33319_c0_g1_i2
TRINITY_DN327456_c0_g1_i1	TRINITY_DN33319_c0_g5_i1
TRINITY_DN32746_c0_g1_i1	TRINITY_DN3331_c0_g1_i3
TRINITY_DN32749_c0_g1_i2	TRINITY_DN3331_c0_g1_i6
TRINITY_DN32749_c6_g1_i1	TRINITY_DN33322_c0_g1_i3
TRINITY_DN3274_c0_g1_i1	TRINITY_DN3332_c0_g1_i4
TRINITY_DN3274_c2_g1_i1	TRINITY_DN33330_c0_g1_i3
TRINITY_DN3274_c9_g1_i1	TRINITY_DN33332_c0_g1_i1
TRINITY_DN32755_c0_g2_i1	TRINITY_DN33332_c0_g1_i3
TRINITY_DN32757_c0_g1_i4	TRINITY_DN33332_c0_g1_i7
TRINITY_DN3275_c0_g1_i1	TRINITY_DN33339_c1_g1_i2
TRINITY_DN32763_c0_g2_i2	TRINITY_DN3333_c0_g1_i10
TRINITY_DN32763_c1_g1_i3	TRINITY_DN3333_c0_g1_i5
TRINITY_DN3276_c0_g1_i2	TRINITY_DN3333_c0_g1_i6
TRINITY_DN3276_c0_g1_i6	TRINITY_DN33341_c0_g3_i1
TRINITY_DN3276_c0_g2_i3	TRINITY_DN3334_c0_g1_i1
TRINITY_DN32770_c0_g1_i1	TRINITY_DN3334_c0_g2_i1
TRINITY_DN32770_c0_g3_i1	TRINITY_DN3334_c1_g1_i1
TRINITY_DN32772_c1_g2_i1	TRINITY_DN3334_c1_g1_i2
TRINITY_DN32776_c0_g1_i12	TRINITY_DN33350_c0_g1_i1
TRINITY_DN327788_c0_g1_i1	TRINITY_DN33350_c0_g4_i1
TRINITY_DN327871_c0_g1_i1	TRINITY_DN3335_c1_g1_i1
TRINITY_DN32787_c0_g3_i1	TRINITY_DN3335_c1_g1_i2
TRINITY_DN32787_c0_g4_i1	TRINITY_DN33362_c3_g1_i1
TRINITY_DN32789_c2_g1_i1	TRINITY_DN33373_c0_g1_i1
TRINITY_DN3278_c1_g1_i2	TRINITY_DN33373_c0_g2_i1
TRINITY_DN3278_c1_g1_i7	TRINITY_DN333780_c0_g1_i1
TRINITY_DN3278_c1_g2_i1	TRINITY_DN33378_c0_g1_i1
TRINITY_DN3278_c1_g4_i1	TRINITY_DN33378_c0_g2_i1
TRINITY_DN3278_c2_g1_i1	TRINITY_DN3337_c0_g1_i1
TRINITY_DN327937_c0_g1_i1	TRINITY_DN3337_c2_g1_i2
TRINITY_DN3279_c0_g2_i5	TRINITY_DN333823_c0_g1_i1
TRINITY_DN327_c1_g1_i1	TRINITY_DN33384_c0_g1_i1
TRINITY_DN32809_c0_g1_i2	TRINITY_DN33384_c0_g2_i2
TRINITY_DN32809_c0_g1_i4	TRINITY_DN33387_c3_g1_i1
TRINITY_DN32812_c0_g1_i8	TRINITY_DN33395_c0_g1_i1
TRINITY_DN32813_c1_g1_i1	TRINITY_DN33396_c0_g1_i1
TRINITY_DN32813_c4_g1_i1	TRINITY_DN33397_c0_g2_i2
TRINITY_DN3281_c0_g1_i1	TRINITY_DN33397_c0_g2_i5
TRINITY_DN3281_c0_g1_i5	TRINITY_DN3339_c0_g1_i1
TRINITY_DN3281_c0_g1_i7	TRINITY_DN3339_c0_g1_i12
TRINITY_DN3281_c0_g1_i8	TRINITY_DN3339_c0_g1_i5
TRINITY_DN328234_c0_g1_i1	TRINITY_DN3339_c0_g1_i7
TRINITY_DN32823_c0_g1_i1	TRINITY_DN3339_c0_g1_i8
TRINITY_DN328268_c0_g1_i1	TRINITY_DN3339_c1_g1_i4
TRINITY_DN32826_c0_g3_i1	TRINITY_DN333_c0_g1_i1
TRINITY_DN328275_c0_g1_i1	TRINITY_DN333_c0_g1_i14
TRINITY_DN3282_c0_g2_i1	TRINITY_DN333_c1_g1_i7
TRINITY_DN3282_c5_g3_i2	TRINITY_DN33400_c0_g3_i1
TRINITY_DN32830_c0_g1_i1	TRINITY_DN33400_c1_g1_i2
TRINITY_DN32834_c0_g1_i9	TRINITY_DN33406_c1_g1_i5
TRINITY_DN32834_c0_g2_i3	TRINITY_DN33408_c0_g2_i1
TRINITY_DN32834_c0_g2_i4	TRINITY_DN33409_c0_g2_i1
TRINITY_DN32834_c0_g2_i7	TRINITY_DN33409_c1_g2_i1
TRINITY_DN32835_c0_g1_i4	TRINITY_DN3340_c0_g1_i1
TRINITY_DN32836_c0_g1_i1	TRINITY_DN3340_c1_g1_i5
TRINITY_DN3283_c0_g1_i1	TRINITY_DN334133_c0_g1_i1
TRINITY_DN328454_c0_g1_i1	TRINITY_DN33413_c0_g2_i1
TRINITY_DN32846_c0_g1_i5	TRINITY_DN33413_c0_g2_i3
TRINITY_DN328480_c0_g1_i1	TRINITY_DN33413_c1_g2_i1
TRINITY_DN32850_c2_g2_i1	TRINITY_DN33416_c1_g1_i1
TRINITY_DN328510_c0_g1_i1	TRINITY_DN334194_c0_g1_i1
TRINITY_DN32855_c0_g1_i2	TRINITY_DN3341_c0_g3_i11
TRINITY_DN32859_c0_g3_i1	TRINITY_DN3341_c0_g3_i2
TRINITY_DN32861_c1_g1_i2	TRINITY_DN3341_c0_g3_i20
TRINITY_DN32864_c0_g2_i1	TRINITY_DN3341_c0_g3_i22
TRINITY_DN32867_c0_g1_i3	TRINITY_DN3341_c0_g3_i4
TRINITY_DN32869_c0_g1_i1	TRINITY_DN3341_c0_g3_i8
TRINITY_DN32875_c0_g3_i1	TRINITY_DN3341_c0_g3_i9
TRINITY_DN32875_c2_g1_i1	TRINITY_DN33421_c0_g1_i10
TRINITY_DN32877_c0_g1_i1	TRINITY_DN33421_c0_g1_i2
TRINITY_DN32877_c0_g1_i2	TRINITY_DN33422_c0_g1_i1
TRINITY_DN32878_c0_g1_i3	TRINITY_DN33423_c0_g1_i4
TRINITY_DN3287_c1_g1_i3	TRINITY_DN33425_c0_g1_i1
TRINITY_DN32884_c1_g1_i6	TRINITY_DN33427_c1_g1_i2
TRINITY_DN32884_c1_g1_i7	TRINITY_DN33427_c1_g1_i3
TRINITY_DN328865_c0_g1_i1	TRINITY_DN3342_c0_g1_i3
TRINITY_DN328906_c0_g1_i1	TRINITY_DN3342_c0_g1_i4
TRINITY_DN32891_c0_g1_i1	TRINITY_DN3342_c0_g3_i3
TRINITY_DN328939_c0_g1_i1	TRINITY_DN33432_c0_g1_i1
TRINITY_DN3289_c0_g1_i3	TRINITY_DN33437_c0_g2_i1
TRINITY_DN3289_c0_g1_i6	TRINITY_DN3343_c1_g2_i11
TRINITY_DN3289_c0_g1_i7	TRINITY_DN33444_c0_g1_i2
TRINITY_DN3289_c0_g1_i8	TRINITY_DN33444_c3_g2_i1
TRINITY_DN328_c0_g1_i11	TRINITY_DN33446_c0_g1_i1
TRINITY_DN328_c0_g1_i12	TRINITY_DN33451_c0_g1_i2
TRINITY_DN328_c0_g1_i14	TRINITY_DN33456_c1_g1_i1
TRINITY_DN328_c0_g1_i3	TRINITY_DN33457_c0_g1_i1
TRINITY_DN328_c0_g1_i9	TRINITY_DN33457_c0_g2_i1
TRINITY_DN329021_c0_g1_i1	TRINITY_DN33459_c0_g1_i4
TRINITY_DN32908_c1_g1_i2	TRINITY_DN3345_c0_g1_i1
TRINITY_DN329097_c0_g1_i1	TRINITY_DN3345_c0_g1_i5
TRINITY_DN329098_c0_g1_i1	TRINITY_DN3345_c0_g2_i1
TRINITY_DN32909_c0_g1_i5	TRINITY_DN3345_c0_g3_i1
TRINITY_DN3290_c0_g2_i1	TRINITY_DN33463_c0_g1_i7
TRINITY_DN3290_c0_g3_i1	TRINITY_DN33464_c0_g4_i1
TRINITY_DN3290_c0_g3_i2	TRINITY_DN33465_c0_g1_i1
TRINITY_DN3290_c5_g1_i1	TRINITY_DN33468_c1_g1_i4
TRINITY_DN3290_c7_g1_i1	TRINITY_DN33468_c1_g2_i1
TRINITY_DN329110_c0_g1_i1	TRINITY_DN33470_c0_g1_i1
TRINITY_DN32912_c1_g1_i1	TRINITY_DN33470_c0_g2_i1
TRINITY_DN3291_c1_g1_i1	TRINITY_DN33471_c0_g1_i1
TRINITY_DN3291_c1_g1_i2	TRINITY_DN33474_c0_g1_i5
TRINITY_DN32923_c0_g1_i2	TRINITY_DN3347_c0_g1_i12
TRINITY_DN32923_c2_g1_i2	TRINITY_DN3347_c0_g1_i13
TRINITY_DN329243_c0_g1_i1	TRINITY_DN33497_c0_g1_i1
TRINITY_DN329246_c0_g1_i1	TRINITY_DN3349_c0_g2_i1
TRINITY_DN329282_c0_g1_i1	TRINITY_DN334_c0_g2_i1
TRINITY_DN3292_c0_g1_i1	TRINITY_DN334_c3_g1_i1
TRINITY_DN3292_c0_g1_i2	TRINITY_DN334_c7_g1_i10
TRINITY_DN3292_c4_g1_i1	TRINITY_DN334_c7_g1_i4
TRINITY_DN32931_c0_g1_i13	TRINITY_DN334_c7_g1_i7
TRINITY_DN329337_c0_g1_i1	TRINITY_DN334_c7_g1_i9
TRINITY_DN3293_c0_g1_i14	TRINITY_DN33501_c0_g1_i7
TRINITY_DN3293_c0_g1_i23	TRINITY_DN33502_c0_g1_i10
TRINITY_DN32940_c0_g1_i2	TRINITY_DN33504_c0_g2_i2
TRINITY_DN32942_c0_g1_i1	TRINITY_DN33509_c0_g1_i7
TRINITY_DN329431_c0_g1_i1	TRINITY_DN335121_c0_g1_i1
TRINITY_DN329437_c0_g1_i1	TRINITY_DN33512_c4_g1_i1
TRINITY_DN32944_c0_g1_i1	TRINITY_DN33513_c0_g1_i4
TRINITY_DN3294_c0_g2_i4	TRINITY_DN33513_c0_g1_i7
TRINITY_DN3294_c0_g3_i1	TRINITY_DN33514_c0_g1_i1
TRINITY_DN3294_c0_g7_i1	TRINITY_DN33514_c1_g1_i1
TRINITY_DN3294_c1_g2_i3	TRINITY_DN33516_c0_g1_i2
TRINITY_DN3294_c1_g2_i6	TRINITY_DN33518_c0_g1_i1
TRINITY_DN32953_c0_g2_i1	TRINITY_DN3351_c0_g1_i1
TRINITY_DN3295_c0_g1_i6	TRINITY_DN3351_c0_g1_i17
TRINITY_DN32964_c0_g1_i1	TRINITY_DN3351_c0_g1_i3
TRINITY_DN329652_c0_g1_i1	TRINITY_DN3351_c0_g1_i40
TRINITY_DN32965_c0_g3_i1	TRINITY_DN3351_c0_g1_i51
TRINITY_DN329720_c0_g1_i1	TRINITY_DN33527_c0_g1_i1
TRINITY_DN32973_c1_g1_i1	TRINITY_DN3352_c0_g1_i4
TRINITY_DN32974_c0_g1_i1	TRINITY_DN3352_c0_g2_i1
TRINITY_DN32975_c1_g1_i4	TRINITY_DN3352_c2_g1_i11
TRINITY_DN32977_c0_g3_i1	TRINITY_DN3352_c2_g1_i3
TRINITY_DN32978_c0_g1_i2	TRINITY_DN3352_c2_g1_i6
TRINITY_DN32978_c0_g1_i4	TRINITY_DN3352_c2_g1_i9
TRINITY_DN32978_c0_g1_i5	TRINITY_DN3352_c6_g1_i1
TRINITY_DN32978_c0_g1_i6	TRINITY_DN33539_c0_g2_i1
TRINITY_DN32979_c1_g1_i2	TRINITY_DN3353_c0_g1_i13
TRINITY_DN32981_c0_g1_i1	TRINITY_DN3353_c0_g1_i9
TRINITY_DN329847_c0_g1_i1	TRINITY_DN33540_c0_g1_i1
TRINITY_DN32985_c1_g1_i3	TRINITY_DN33543_c0_g2_i1
TRINITY_DN32987_c0_g1_i2	TRINITY_DN33546_c0_g1_i1
TRINITY_DN32993_c0_g1_i1	TRINITY_DN33546_c0_g2_i1
TRINITY_DN32996_c0_g1_i4	TRINITY_DN33547_c0_g1_i6
TRINITY_DN3299_c0_g1_i1	TRINITY_DN3354_c0_g1_i4
TRINITY_DN3299_c0_g1_i2	TRINITY_DN3354_c0_g1_i5
TRINITY_DN3299_c0_g1_i6	TRINITY_DN3354_c0_g1_i6
TRINITY_DN329_c0_g1_i1	TRINITY_DN3354_c0_g1_i7
TRINITY_DN329_c0_g2_i1	TRINITY_DN3355_c1_g1_i1
TRINITY_DN329_c12_g1_i2	TRINITY_DN3355_c2_g1_i1
TRINITY_DN329_c2_g1_i3	TRINITY_DN33560_c0_g1_i1
TRINITY_DN329_c2_g1_i7	TRINITY_DN33564_c1_g1_i1
TRINITY_DN329_c2_g1_i9	TRINITY_DN33566_c0_g1_i2
TRINITY_DN329_c4_g2_i1	TRINITY_DN33566_c0_g1_i3
TRINITY_DN33001_c0_g1_i4	TRINITY_DN33570_c0_g1_i2
TRINITY_DN33002_c0_g3_i1	TRINITY_DN33573_c0_g1_i3
TRINITY_DN33003_c0_g1_i1	TRINITY_DN33574_c0_g1_i2
TRINITY_DN33005_c0_g1_i1	TRINITY_DN33575_c1_g2_i1
TRINITY_DN33006_c0_g1_i5	TRINITY_DN33575_c5_g1_i1
TRINITY_DN33009_c0_g1_i3	TRINITY_DN33575_c6_g1_i1
TRINITY_DN3300_c0_g1_i2	TRINITY_DN335764_c0_g1_i1
TRINITY_DN3300_c0_g1_i9	TRINITY_DN33580_c0_g1_i1
TRINITY_DN33012_c0_g1_i7	TRINITY_DN33582_c0_g1_i1
TRINITY_DN330135_c0_g1_i1	TRINITY_DN33582_c0_g3_i1
TRINITY_DN33014_c0_g1_i1	TRINITY_DN33586_c0_g1_i1
TRINITY_DN33014_c0_g1_i3	TRINITY_DN3358_c1_g2_i4
TRINITY_DN33016_c2_g1_i1	TRINITY_DN3358_c1_g2_i5
TRINITY_DN330186_c0_g1_i1	TRINITY_DN33590_c0_g1_i1
TRINITY_DN3301_c0_g2_i2	TRINITY_DN33591_c0_g1_i7
TRINITY_DN3301_c0_g2_i3	TRINITY_DN33597_c0_g1_i1
TRINITY_DN3301_c0_g2_i4	TRINITY_DN3359_c0_g1_i1
TRINITY_DN3301_c1_g2_i1	TRINITY_DN3359_c0_g4_i1
TRINITY_DN330240_c0_g1_i1	TRINITY_DN3359_c1_g1_i3
TRINITY_DN33027_c0_g1_i1	TRINITY_DN3359_c1_g1_i4
TRINITY_DN33031_c0_g1_i1	TRINITY_DN3359_c1_g1_i5
TRINITY_DN3303_c0_g1_i1	TRINITY_DN3359_c2_g1_i3
TRINITY_DN33042_c0_g1_i9	TRINITY_DN3359_c4_g1_i1
TRINITY_DN33045_c0_g1_i1	TRINITY_DN335_c0_g1_i10
TRINITY_DN33045_c0_g4_i1	TRINITY_DN335_c0_g1_i14
TRINITY_DN33045_c0_g4_i2	TRINITY_DN335_c0_g1_i15
TRINITY_DN33046_c0_g1_i2	TRINITY_DN335_c0_g1_i17
TRINITY_DN33047_c0_g2_i1	TRINITY_DN335_c0_g1_i19
TRINITY_DN330482_c0_g1_i1	TRINITY_DN335_c0_g1_i6
TRINITY_DN33051_c0_g1_i1	TRINITY_DN33602_c2_g1_i1
TRINITY_DN33054_c0_g1_i6	TRINITY_DN33605_c0_g1_i1
TRINITY_DN33054_c0_g1_i9	TRINITY_DN33606_c0_g1_i2
TRINITY_DN3305_c0_g1_i1	TRINITY_DN33609_c0_g2_i2
TRINITY_DN33060_c0_g1_i2	TRINITY_DN33615_c0_g1_i1
TRINITY_DN33065_c0_g1_i3	TRINITY_DN3361_c0_g1_i1
TRINITY_DN33068_c1_g1_i1	TRINITY_DN3361_c0_g1_i2
