C0-V (29697 genes)	C1-V (28578 genes)
TRINITY_DN101471_c0_g1_i2	TRINITY_DN10176_c0_g1_i2
TRINITY_DN10147_c0_g1_i4	TRINITY_DN10178_c0_g1_i1
TRINITY_DN10147_c0_g2_i1	TRINITY_DN10178_c0_g2_i7
TRINITY_DN10149_c0_g2_i10	TRINITY_DN1017_c1_g1_i1
TRINITY_DN10149_c0_g2_i12	TRINITY_DN101810_c0_g1_i1
TRINITY_DN10149_c0_g2_i5	TRINITY_DN10181_c0_g4_i1
TRINITY_DN10149_c0_g2_i8	TRINITY_DN10185_c3_g1_i5
TRINITY_DN1014_c0_g1_i1	TRINITY_DN10185_c3_g2_i2
TRINITY_DN1014_c0_g1_i2	TRINITY_DN10185_c3_g2_i4
TRINITY_DN10150_c0_g1_i4	TRINITY_DN10188_c0_g2_i1
TRINITY_DN10152_c0_g1_i1	TRINITY_DN1018_c0_g1_i1
TRINITY_DN10153_c0_g1_i5	TRINITY_DN1018_c0_g1_i3
TRINITY_DN10157_c0_g1_i4	TRINITY_DN1018_c0_g1_i5
TRINITY_DN10157_c0_g1_i5	TRINITY_DN10191_c0_g1_i1
TRINITY_DN10157_c1_g1_i2	TRINITY_DN10192_c0_g1_i4
TRINITY_DN10158_c0_g1_i6	TRINITY_DN10192_c2_g2_i1
TRINITY_DN10158_c0_g1_i9	TRINITY_DN10194_c0_g5_i1
TRINITY_DN10159_c0_g1_i5	TRINITY_DN10194_c2_g1_i1
TRINITY_DN1015_c0_g2_i2	TRINITY_DN10197_c0_g1_i8
TRINITY_DN1015_c1_g2_i2	TRINITY_DN10197_c0_g3_i1
TRINITY_DN1015_c1_g2_i3	TRINITY_DN10198_c0_g1_i2
TRINITY_DN10160_c0_g1_i10	TRINITY_DN10198_c0_g1_i3
TRINITY_DN10160_c2_g1_i1	TRINITY_DN10198_c0_g1_i4
TRINITY_DN10160_c3_g1_i4	TRINITY_DN1019_c0_g2_i2
TRINITY_DN10162_c0_g1_i2	TRINITY_DN101_c0_g1_i10
TRINITY_DN10165_c0_g1_i1	TRINITY_DN10200_c0_g1_i1
TRINITY_DN10166_c0_g2_i1	TRINITY_DN10200_c1_g2_i1
TRINITY_DN10166_c0_g2_i2	TRINITY_DN10200_c1_g4_i1
TRINITY_DN10167_c0_g1_i12	TRINITY_DN10201_c0_g1_i1
TRINITY_DN10167_c0_g1_i13	TRINITY_DN10203_c0_g2_i6
TRINITY_DN10167_c0_g1_i4	TRINITY_DN10208_c0_g1_i1
TRINITY_DN10167_c0_g1_i6	TRINITY_DN1020_c0_g1_i1
TRINITY_DN10167_c0_g1_i9	TRINITY_DN1020_c0_g2_i3
TRINITY_DN101685_c0_g1_i1	TRINITY_DN1020_c0_g2_i5
TRINITY_DN1016_c0_g1_i3	TRINITY_DN1020_c0_g3_i1
TRINITY_DN1016_c0_g1_i5	TRINITY_DN102105_c0_g2_i1
TRINITY_DN10172_c0_g1_i2	TRINITY_DN10212_c0_g1_i3
TRINITY_DN10173_c0_g1_i6	TRINITY_DN102177_c0_g1_i1
TRINITY_DN10175_c1_g1_i1	TRINITY_DN10217_c0_g1_i4
TRINITY_DN10175_c1_g2_i6	TRINITY_DN10217_c1_g3_i1
TRINITY_DN10177_c0_g1_i2	TRINITY_DN10218_c0_g1_i1
TRINITY_DN10177_c0_g1_i8	TRINITY_DN10219_c0_g1_i1
TRINITY_DN10178_c0_g2_i2	TRINITY_DN10219_c0_g1_i4
TRINITY_DN1017_c0_g1_i4	TRINITY_DN10219_c1_g1_i5
TRINITY_DN1017_c0_g3_i1	TRINITY_DN10219_c1_g3_i1
TRINITY_DN1017_c1_g1_i4	TRINITY_DN1021_c0_g1_i11
TRINITY_DN1017_c1_g1_i6	TRINITY_DN1021_c0_g1_i14
TRINITY_DN1017_c2_g1_i3	TRINITY_DN1021_c0_g1_i18
TRINITY_DN101817_c0_g1_i1	TRINITY_DN1021_c0_g1_i4
TRINITY_DN10181_c0_g2_i1	TRINITY_DN1021_c0_g1_i8
TRINITY_DN10185_c3_g1_i2	TRINITY_DN1021_c0_g1_i9
TRINITY_DN10185_c3_g1_i8	TRINITY_DN1021_c1_g1_i1
TRINITY_DN10188_c0_g1_i1	TRINITY_DN1021_c2_g1_i1
TRINITY_DN10188_c0_g1_i2	TRINITY_DN1021_c3_g1_i2
TRINITY_DN1018_c0_g1_i4	TRINITY_DN10221_c0_g1_i5
TRINITY_DN1018_c1_g1_i4	TRINITY_DN10223_c0_g1_i4
TRINITY_DN10192_c0_g1_i2	TRINITY_DN102252_c0_g1_i1
TRINITY_DN10192_c0_g1_i6	TRINITY_DN10227_c0_g3_i1
TRINITY_DN101938_c0_g2_i1	TRINITY_DN1022_c0_g1_i1
TRINITY_DN10194_c0_g4_i1	TRINITY_DN1022_c0_g1_i13
TRINITY_DN10194_c1_g1_i4	TRINITY_DN10231_c2_g1_i1
TRINITY_DN10195_c0_g1_i1	TRINITY_DN102341_c0_g1_i2
TRINITY_DN101964_c0_g1_i2	TRINITY_DN10235_c0_g1_i1
TRINITY_DN10196_c0_g2_i1	TRINITY_DN1023_c0_g1_i17
TRINITY_DN10196_c0_g2_i2	TRINITY_DN1023_c0_g1_i19
TRINITY_DN10196_c0_g2_i3	TRINITY_DN1023_c0_g1_i24
TRINITY_DN10196_c0_g2_i5	TRINITY_DN10240_c0_g4_i1
TRINITY_DN10197_c0_g2_i1	TRINITY_DN102414_c1_g2_i1
TRINITY_DN10198_c0_g2_i1	TRINITY_DN10244_c0_g1_i13
TRINITY_DN10199_c0_g1_i1	TRINITY_DN10244_c0_g1_i4
TRINITY_DN1019_c0_g1_i6	TRINITY_DN10246_c0_g2_i1
TRINITY_DN1019_c0_g1_i7	TRINITY_DN10246_c0_g3_i2
TRINITY_DN101_c0_g1_i11	TRINITY_DN102477_c0_g2_i1
TRINITY_DN101_c0_g1_i13	TRINITY_DN102477_c0_g2_i3
TRINITY_DN101_c0_g1_i15	TRINITY_DN1024_c0_g5_i1
TRINITY_DN101_c0_g1_i18	TRINITY_DN10250_c0_g1_i1
TRINITY_DN101_c0_g1_i8	TRINITY_DN102511_c0_g1_i1
TRINITY_DN101_c0_g1_i9	TRINITY_DN10251_c1_g1_i2
TRINITY_DN101_c0_g2_i1	TRINITY_DN102535_c0_g1_i3
TRINITY_DN101_c0_g3_i1	TRINITY_DN102537_c0_g1_i1
TRINITY_DN10200_c0_g1_i2	TRINITY_DN102542_c0_g1_i1
TRINITY_DN10202_c1_g1_i1	TRINITY_DN10255_c2_g1_i1
TRINITY_DN10203_c0_g2_i5	TRINITY_DN10257_c0_g1_i2
TRINITY_DN10205_c0_g1_i2	TRINITY_DN102585_c1_g2_i1
TRINITY_DN10206_c0_g1_i2	TRINITY_DN10261_c0_g1_i3
TRINITY_DN10208_c0_g1_i2	TRINITY_DN10261_c2_g1_i1
TRINITY_DN10208_c0_g1_i4	TRINITY_DN10264_c0_g2_i11
TRINITY_DN10212_c0_g1_i2	TRINITY_DN10264_c0_g2_i7
TRINITY_DN10217_c0_g1_i1	TRINITY_DN10265_c0_g2_i2
TRINITY_DN1021_c0_g1_i15	TRINITY_DN10266_c2_g1_i1
TRINITY_DN1021_c0_g1_i17	TRINITY_DN10266_c3_g1_i1
TRINITY_DN1021_c0_g1_i2	TRINITY_DN10268_c0_g1_i18
TRINITY_DN1021_c0_g1_i21	TRINITY_DN10268_c0_g1_i8
TRINITY_DN1021_c0_g1_i7	TRINITY_DN102691_c0_g1_i7
TRINITY_DN10221_c1_g1_i3	TRINITY_DN10269_c0_g1_i1
TRINITY_DN10224_c0_g1_i5	TRINITY_DN1026_c1_g1_i1
TRINITY_DN102268_c0_g1_i2	TRINITY_DN1026_c1_g4_i1
TRINITY_DN10227_c0_g1_i6	TRINITY_DN1026_c6_g2_i2
